wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/shuka/.netrc.
wandb: Currently logged in as: shukanth2004 (shukanth2004-the-ohio-state-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run ltnzuugz
wandb: Tracking run with wandb version 0.27.0
wandb: Run data is saved locally in /Users/shuka/Documents/vscode/mechanistic_interpretability/wandb/run-20260517_194655-ltnzuugz
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run n4-wd0.4-200k-seed0
wandb: ⭐️ View project at https://wandb.ai/shukanth2004-the-ohio-state-university/mechinterp
wandb: 🚀 View run at https://wandb.ai/shukanth2004-the-ohio-state-university/mechinterp/runs/ltnzuugz
Generating dataset: n_nodes=4, n_graphs=200, dataset_seed=42
  train: 1,920 samples | val: 480 samples | vocab size: 8 | seq len: 21
Training: lr=0.001, wd=0.4, n_steps=200,000, seed=0
step     10 | train loss 1.3197 | train acc 0.422 | val loss 1.2755 | val acc 0.456 | ‖g‖ 3.6892 | 1s
step  39500 | train loss 0.0456 | train acc 0.992 | val loss 1.5002 | val acc 0.696 | ‖g‖ 7.3376 | 575s
step  39600 | train loss 0.0512 | train acc 0.977 | val loss 1.3692 | val acc 0.710 | ‖g‖ 5.6195 | 577s
step  39700 | train loss 0.1881 | train acc 0.930 | val loss 1.6870 | val acc 0.696 | ‖g‖ 21.2191 | 579s
step  39800 | train loss 0.0577 | train acc 0.984 | val loss 1.4293 | val acc 0.692 | ‖g‖ 8.9128 | 580s
step  39900 | train loss 0.1100 | train acc 0.953 | val loss 1.5169 | val acc 0.708 | ‖g‖ 17.3326 | 582s
step  40000 | train loss 0.0245 | train acc 1.000 | val loss 1.4864 | val acc 0.704 | ‖g‖ 3.9418 | 583s
step  40100 | train loss 0.0312 | train acc 0.992 | val loss 1.5564 | val acc 0.694 | ‖g‖ 4.4701 | 584s
step  40200 | train loss 0.0223 | train acc 0.992 | val loss 1.5149 | val acc 0.713 | ‖g‖ 3.9396 | 586s
step  40300 | train loss 0.0450 | train acc 0.984 | val loss 1.5627 | val acc 0.708 | ‖g‖ 11.2654 | 588s
step  40400 | train loss 0.0637 | train acc 0.945 | val loss 1.5904 | val acc 0.700 | ‖g‖ 11.1629 | 590s
step  40500 | train loss 0.1550 | train acc 0.938 | val loss 1.5539 | val acc 0.719 | ‖g‖ 17.6070 | 591s
step  40600 | train loss 0.1306 | train acc 0.953 | val loss 1.4834 | val acc 0.681 | ‖g‖ 11.9798 | 593s
step  40700 | train loss 0.0435 | train acc 0.984 | val loss 1.6071 | val acc 0.708 | ‖g‖ 9.2830 | 595s
step  40800 | train loss 0.0046 | train acc 1.000 | val loss 1.6552 | val acc 0.704 | ‖g‖ 0.5184 | 596s
step  40900 | train loss 0.0072 | train acc 1.000 | val loss 1.7368 | val acc 0.710 | ‖g‖ 1.8239 | 598s
step  41000 | train loss 0.1979 | train acc 0.922 | val loss 1.0886 | val acc 0.704 | ‖g‖ 12.2465 | 599s
step  41100 | train loss 0.1526 | train acc 0.969 | val loss 1.2941 | val acc 0.731 | ‖g‖ 8.9149 | 601s
step  41200 | train loss 0.0561 | train acc 0.984 | val loss 1.3662 | val acc 0.715 | ‖g‖ 5.2162 | 603s
step  41300 | train loss 0.0713 | train acc 0.977 | val loss 1.5609 | val acc 0.698 | ‖g‖ 8.2465 | 605s
step  41400 | train loss 0.0547 | train acc 0.984 | val loss 1.6119 | val acc 0.704 | ‖g‖ 7.7730 | 607s
step  41500 | train loss 0.0667 | train acc 0.977 | val loss 1.3413 | val acc 0.713 | ‖g‖ 7.6528 | 609s
step  41600 | train loss 0.1257 | train acc 0.953 | val loss 1.2185 | val acc 0.727 | ‖g‖ 11.4280 | 611s
step  41700 | train loss 0.0547 | train acc 0.984 | val loss 1.6602 | val acc 0.727 | ‖g‖ 7.2568 | 613s
step  41800 | train loss 0.0974 | train acc 0.961 | val loss 1.4194 | val acc 0.706 | ‖g‖ 14.1122 | 614s
step  41900 | train loss 0.0464 | train acc 0.992 | val loss 1.6102 | val acc 0.723 | ‖g‖ 3.6599 | 616s
step  42000 | train loss 0.0280 | train acc 0.992 | val loss 1.4926 | val acc 0.717 | ‖g‖ 4.4381 | 618s
step  42100 | train loss 0.0829 | train acc 0.961 | val loss 1.5017 | val acc 0.719 | ‖g‖ 7.5812 | 619s
step  42200 | train loss 0.0619 | train acc 0.984 | val loss 1.4902 | val acc 0.694 | ‖g‖ 5.9255 | 621s
step  42300 | train loss 0.0225 | train acc 0.992 | val loss 1.5396 | val acc 0.717 | ‖g‖ 2.5028 | 622s
step  42400 | train loss 0.2534 | train acc 0.922 | val loss 1.3937 | val acc 0.706 | ‖g‖ 15.1076 | 624s
step  42500 | train loss 0.0292 | train acc 1.000 | val loss 1.4373 | val acc 0.706 | ‖g‖ 3.2968 | 625s
step  42600 | train loss 0.0613 | train acc 0.977 | val loss 1.5623 | val acc 0.700 | ‖g‖ 5.6808 | 627s
step  42700 | train loss 0.0656 | train acc 0.977 | val loss 1.5821 | val acc 0.704 | ‖g‖ 10.4024 | 629s
step  42800 | train loss 0.1205 | train acc 0.938 | val loss 1.3137 | val acc 0.715 | ‖g‖ 8.9254 | 630s
step  42900 | train loss 0.0118 | train acc 1.000 | val loss 1.6494 | val acc 0.708 | ‖g‖ 1.2553 | 632s
step  43000 | train loss 0.1403 | train acc 0.961 | val loss 1.4328 | val acc 0.700 | ‖g‖ 10.9812 | 634s
step  43100 | train loss 0.0814 | train acc 0.969 | val loss 1.6087 | val acc 0.727 | ‖g‖ 12.2932 | 635s
step  43200 | train loss 0.0160 | train acc 1.000 | val loss 1.4254 | val acc 0.727 | ‖g‖ 1.4519 | 637s
step  43300 | train loss 0.0400 | train acc 0.992 | val loss 1.6718 | val acc 0.729 | ‖g‖ 4.5468 | 639s
step  43400 | train loss 0.0722 | train acc 0.977 | val loss 1.4130 | val acc 0.727 | ‖g‖ 9.1402 | 640s
step  43500 | train loss 0.0343 | train acc 0.984 | val loss 1.5058 | val acc 0.694 | ‖g‖ 4.2457 | 642s
step  43600 | train loss 0.0953 | train acc 0.992 | val loss 1.6525 | val acc 0.700 | ‖g‖ 5.7036 | 644s
step  43700 | train loss 0.1435 | train acc 0.977 | val loss 1.5192 | val acc 0.692 | ‖g‖ 17.3997 | 645s
step  43800 | train loss 0.0310 | train acc 0.992 | val loss 1.5286 | val acc 0.715 | ‖g‖ 6.7377 | 647s
step  43900 | train loss 0.0895 | train acc 0.961 | val loss 1.5232 | val acc 0.719 | ‖g‖ 7.9393 | 648s
step  44000 | train loss 0.0992 | train acc 0.969 | val loss 1.4709 | val acc 0.704 | ‖g‖ 12.3994 | 649s
step  44100 | train loss 0.0465 | train acc 0.992 | val loss 1.3557 | val acc 0.704 | ‖g‖ 7.0856 | 651s
step  44200 | train loss 0.0391 | train acc 0.992 | val loss 1.4805 | val acc 0.702 | ‖g‖ 3.9683 | 652s
step  44300 | train loss 0.1138 | train acc 0.977 | val loss 1.5783 | val acc 0.710 | ‖g‖ 7.9371 | 654s
step  44400 | train loss 0.0392 | train acc 0.984 | val loss 1.7914 | val acc 0.702 | ‖g‖ 9.2542 | 655s
step  44500 | train loss 0.2057 | train acc 0.938 | val loss 1.6591 | val acc 0.708 | ‖g‖ 16.6241 | 657s
step  44600 | train loss 0.0841 | train acc 0.953 | val loss 1.4274 | val acc 0.698 | ‖g‖ 9.9775 | 658s
step  44700 | train loss 0.0624 | train acc 0.984 | val loss 1.4382 | val acc 0.690 | ‖g‖ 6.5048 | 660s
step  44800 | train loss 0.0555 | train acc 0.977 | val loss 1.6741 | val acc 0.708 | ‖g‖ 10.7888 | 662s
step  44900 | train loss 0.1208 | train acc 0.961 | val loss 1.3894 | val acc 0.704 | ‖g‖ 12.0480 | 663s
step  45000 | train loss 0.0189 | train acc 1.000 | val loss 1.6042 | val acc 0.715 | ‖g‖ 2.4255 | 665s
step  45100 | train loss 0.0766 | train acc 0.984 | val loss 1.5343 | val acc 0.698 | ‖g‖ 7.2989 | 667s
step  45200 | train loss 0.0124 | train acc 1.000 | val loss 1.5682 | val acc 0.721 | ‖g‖ 1.4746 | 668s
step  45300 | train loss 0.1008 | train acc 0.961 | val loss 1.5771 | val acc 0.713 | ‖g‖ 12.0829 | 670s
step  45400 | train loss 0.0984 | train acc 0.961 | val loss 1.4744 | val acc 0.698 | ‖g‖ 7.3486 | 671s
step  45500 | train loss 0.0736 | train acc 0.953 | val loss 1.5268 | val acc 0.702 | ‖g‖ 7.4815 | 673s
step  45600 | train loss 0.0271 | train acc 1.000 | val loss 1.6148 | val acc 0.698 | ‖g‖ 3.7990 | 674s
step  45700 | train loss 0.0739 | train acc 0.953 | val loss 1.5188 | val acc 0.700 | ‖g‖ 9.1065 | 676s
step  45800 | train loss 0.0855 | train acc 0.969 | val loss 1.5313 | val acc 0.710 | ‖g‖ 7.8755 | 678s
step  45900 | train loss 0.0641 | train acc 0.984 | val loss 1.4656 | val acc 0.698 | ‖g‖ 6.5723 | 679s
step  46000 | train loss 0.0173 | train acc 0.992 | val loss 1.5425 | val acc 0.713 | ‖g‖ 5.1176 | 681s
step  46100 | train loss 0.0076 | train acc 1.000 | val loss 1.6638 | val acc 0.725 | ‖g‖ 2.9411 | 682s
step  46200 | train loss 0.0096 | train acc 1.000 | val loss 1.7687 | val acc 0.715 | ‖g‖ 1.6621 | 684s
step  46300 | train loss 0.1508 | train acc 0.961 | val loss 1.2679 | val acc 0.688 | ‖g‖ 8.6910 | 686s
step  46400 | train loss 0.1072 | train acc 0.953 | val loss 1.5709 | val acc 0.679 | ‖g‖ 13.4529 | 687s
step  46500 | train loss 0.0609 | train acc 0.977 | val loss 1.4109 | val acc 0.721 | ‖g‖ 6.1753 | 689s
step  46600 | train loss 0.0732 | train acc 0.977 | val loss 1.3138 | val acc 0.738 | ‖g‖ 6.7465 | 691s
step  46700 | train loss 0.0500 | train acc 0.992 | val loss 1.5373 | val acc 0.710 | ‖g‖ 4.3435 | 692s
step  46800 | train loss 0.0602 | train acc 0.984 | val loss 1.3643 | val acc 0.710 | ‖g‖ 7.1518 | 694s
step  46900 | train loss 0.1352 | train acc 0.930 | val loss 1.5513 | val acc 0.723 | ‖g‖ 21.9428 | 696s
step  47000 | train loss 0.0875 | train acc 0.969 | val loss 1.3920 | val acc 0.696 | ‖g‖ 6.9477 | 697s
step  47100 | train loss 0.0928 | train acc 0.969 | val loss 1.5061 | val acc 0.710 | ‖g‖ 9.0303 | 699s
step  47200 | train loss 0.0833 | train acc 0.961 | val loss 1.5158 | val acc 0.719 | ‖g‖ 10.6686 | 700s
step  47300 | train loss 0.0476 | train acc 0.984 | val loss 1.5165 | val acc 0.725 | ‖g‖ 5.7551 | 702s
step  47400 | train loss 0.1042 | train acc 0.969 | val loss 1.3863 | val acc 0.710 | ‖g‖ 8.5867 | 704s
step  47500 | train loss 0.0682 | train acc 0.961 | val loss 1.6705 | val acc 0.731 | ‖g‖ 7.7661 | 705s
step  47600 | train loss 0.0482 | train acc 0.992 | val loss 1.5056 | val acc 0.702 | ‖g‖ 4.1602 | 707s
step  47700 | train loss 0.0152 | train acc 1.000 | val loss 1.6486 | val acc 0.725 | ‖g‖ 3.1458 | 708s
step  47800 | train loss 0.0066 | train acc 1.000 | val loss 1.6699 | val acc 0.713 | ‖g‖ 0.9585 | 710s
step  47900 | train loss 0.0262 | train acc 0.992 | val loss 1.7673 | val acc 0.696 | ‖g‖ 6.5808 | 711s
step  48000 | train loss 0.2061 | train acc 0.930 | val loss 1.3523 | val acc 0.704 | ‖g‖ 18.8549 | 713s
step  48100 | train loss 0.0196 | train acc 0.992 | val loss 1.5312 | val acc 0.746 | ‖g‖ 3.7783 | 714s
step  48200 | train loss 0.1374 | train acc 0.945 | val loss 1.2938 | val acc 0.692 | ‖g‖ 12.4273 | 716s
step  48300 | train loss 0.0404 | train acc 0.992 | val loss 1.4365 | val acc 0.710 | ‖g‖ 5.3515 | 717s
step  48400 | train loss 0.2595 | train acc 0.922 | val loss 1.6563 | val acc 0.721 | ‖g‖ 20.3914 | 719s
step  48500 | train loss 0.1074 | train acc 0.977 | val loss 1.3723 | val acc 0.698 | ‖g‖ 8.9358 | 720s
step  48600 | train loss 0.0298 | train acc 1.000 | val loss 1.5906 | val acc 0.733 | ‖g‖ 3.9255 | 722s
step  48700 | train loss 0.0790 | train acc 0.969 | val loss 1.4464 | val acc 0.738 | ‖g‖ 10.3414 | 723s
step  48800 | train loss 0.0560 | train acc 0.984 | val loss 1.4306 | val acc 0.721 | ‖g‖ 11.9219 | 725s
step  48900 | train loss 0.1236 | train acc 0.969 | val loss 1.3684 | val acc 0.708 | ‖g‖ 10.5996 | 727s
step  49000 | train loss 0.0616 | train acc 0.969 | val loss 1.7821 | val acc 0.717 | ‖g‖ 11.9497 | 728s
step  49100 | train loss 0.0339 | train acc 0.984 | val loss 1.3021 | val acc 0.729 | ‖g‖ 4.3234 | 730s
step  49200 | train loss 0.0138 | train acc 1.000 | val loss 1.6201 | val acc 0.721 | ‖g‖ 2.1542 | 731s
step  49300 | train loss 0.0096 | train acc 1.000 | val loss 1.6260 | val acc 0.698 | ‖g‖ 2.6060 | 733s
step  49400 | train loss 0.2057 | train acc 0.953 | val loss 1.3506 | val acc 0.704 | ‖g‖ 19.0584 | 734s
step  49500 | train loss 0.0552 | train acc 0.977 | val loss 1.4983 | val acc 0.725 | ‖g‖ 7.2825 | 736s
step  49600 | train loss 0.0980 | train acc 0.961 | val loss 1.4959 | val acc 0.696 | ‖g‖ 8.3153 | 738s
step  49700 | train loss 0.0242 | train acc 0.992 | val loss 1.6052 | val acc 0.713 | ‖g‖ 4.6641 | 739s
step  49800 | train loss 0.1520 | train acc 0.953 | val loss 1.6089 | val acc 0.708 | ‖g‖ 14.8336 | 741s
step  49900 | train loss 0.1234 | train acc 0.945 | val loss 1.3831 | val acc 0.698 | ‖g‖ 9.7561 | 743s
step  50000 | train loss 0.1028 | train acc 0.977 | val loss 1.5719 | val acc 0.702 | ‖g‖ 8.5349 | 744s
step  50100 | train loss 0.0657 | train acc 0.969 | val loss 1.6157 | val acc 0.719 | ‖g‖ 11.3869 | 746s
step  50200 | train loss 0.0537 | train acc 0.992 | val loss 1.4505 | val acc 0.723 | ‖g‖ 4.5198 | 748s
step  50300 | train loss 0.0407 | train acc 0.992 | val loss 1.6224 | val acc 0.710 | ‖g‖ 4.4819 | 749s
step  50400 | train loss 0.0477 | train acc 0.992 | val loss 1.4610 | val acc 0.715 | ‖g‖ 5.3075 | 751s
step  50500 | train loss 0.0346 | train acc 0.984 | val loss 1.4661 | val acc 0.733 | ‖g‖ 4.9823 | 753s
step  50600 | train loss 0.1014 | train acc 0.961 | val loss 1.3618 | val acc 0.698 | ‖g‖ 8.4378 | 755s
step  50700 | train loss 0.0324 | train acc 0.992 | val loss 1.4283 | val acc 0.727 | ‖g‖ 3.7703 | 756s
step  50800 | train loss 0.1245 | train acc 0.969 | val loss 1.6498 | val acc 0.683 | ‖g‖ 9.1881 | 758s
step  50900 | train loss 0.0265 | train acc 1.000 | val loss 1.6926 | val acc 0.719 | ‖g‖ 3.4039 | 759s
step  51000 | train loss 0.0893 | train acc 0.953 | val loss 1.4582 | val acc 0.717 | ‖g‖ 9.7460 | 761s
step  51100 | train loss 0.0624 | train acc 0.977 | val loss 1.5372 | val acc 0.698 | ‖g‖ 7.8730 | 763s
step  51200 | train loss 0.0302 | train acc 0.984 | val loss 1.7171 | val acc 0.729 | ‖g‖ 5.9591 | 764s
step  51300 | train loss 0.1128 | train acc 0.961 | val loss 1.4873 | val acc 0.702 | ‖g‖ 7.1588 | 766s
step  51400 | train loss 0.0391 | train acc 0.992 | val loss 1.5261 | val acc 0.717 | ‖g‖ 5.6764 | 768s
step  51500 | train loss 0.0961 | train acc 0.977 | val loss 1.4425 | val acc 0.721 | ‖g‖ 7.2466 | 769s
step  51600 | train loss 0.0549 | train acc 0.984 | val loss 1.4516 | val acc 0.721 | ‖g‖ 6.5525 | 771s
step  51700 | train loss 0.0072 | train acc 1.000 | val loss 1.5782 | val acc 0.727 | ‖g‖ 0.8327 | 772s
step  51800 | train loss 0.0434 | train acc 0.984 | val loss 1.5920 | val acc 0.708 | ‖g‖ 9.9866 | 773s
step  51900 | train loss 0.0928 | train acc 0.953 | val loss 1.2979 | val acc 0.715 | ‖g‖ 8.8643 | 775s
step  52000 | train loss 0.0456 | train acc 0.984 | val loss 1.5328 | val acc 0.717 | ‖g‖ 5.1671 | 776s
step  52100 | train loss 0.0507 | train acc 0.984 | val loss 1.3836 | val acc 0.708 | ‖g‖ 6.1453 | 778s
step  52200 | train loss 0.0620 | train acc 0.977 | val loss 1.6228 | val acc 0.710 | ‖g‖ 8.2002 | 779s
step  52300 | train loss 0.0551 | train acc 0.977 | val loss 1.4940 | val acc 0.719 | ‖g‖ 6.2114 | 780s
step  52400 | train loss 0.0171 | train acc 1.000 | val loss 1.5600 | val acc 0.729 | ‖g‖ 1.5429 | 782s
step  52500 | train loss 0.0870 | train acc 0.969 | val loss 1.5959 | val acc 0.729 | ‖g‖ 9.5349 | 783s
step  52600 | train loss 0.0784 | train acc 0.977 | val loss 1.5728 | val acc 0.706 | ‖g‖ 11.0365 | 785s
step  52700 | train loss 0.1676 | train acc 0.930 | val loss 1.5225 | val acc 0.717 | ‖g‖ 17.1380 | 786s
step  52800 | train loss 0.0389 | train acc 0.984 | val loss 1.3539 | val acc 0.733 | ‖g‖ 4.9248 | 787s
step  52900 | train loss 0.0216 | train acc 0.992 | val loss 1.6336 | val acc 0.731 | ‖g‖ 3.9265 | 789s
step  53000 | train loss 0.0758 | train acc 0.977 | val loss 1.4570 | val acc 0.679 | ‖g‖ 6.9206 | 790s
step  53100 | train loss 0.0720 | train acc 0.977 | val loss 1.4325 | val acc 0.721 | ‖g‖ 8.3072 | 792s
step  53200 | train loss 0.0173 | train acc 1.000 | val loss 1.5432 | val acc 0.731 | ‖g‖ 2.7207 | 793s
step  53300 | train loss 0.0659 | train acc 0.969 | val loss 1.5633 | val acc 0.704 | ‖g‖ 9.8622 | 795s
step  53400 | train loss 0.0497 | train acc 0.984 | val loss 1.2961 | val acc 0.731 | ‖g‖ 6.7061 | 797s
step  53500 | train loss 0.0308 | train acc 0.992 | val loss 1.6073 | val acc 0.727 | ‖g‖ 3.3382 | 798s
step  53600 | train loss 0.0869 | train acc 0.977 | val loss 1.4101 | val acc 0.744 | ‖g‖ 9.5396 | 800s
step  53700 | train loss 0.0323 | train acc 0.992 | val loss 1.6188 | val acc 0.717 | ‖g‖ 4.6731 | 801s
step  53800 | train loss 0.0560 | train acc 0.984 | val loss 1.2443 | val acc 0.742 | ‖g‖ 3.5257 | 802s
step  53900 | train loss 0.0256 | train acc 0.992 | val loss 1.4752 | val acc 0.733 | ‖g‖ 3.5133 | 804s
step  54000 | train loss 0.0188 | train acc 1.000 | val loss 1.6435 | val acc 0.719 | ‖g‖ 2.7678 | 805s
step  54100 | train loss 0.1049 | train acc 0.953 | val loss 1.4775 | val acc 0.690 | ‖g‖ 9.9945 | 807s
step  54200 | train loss 0.0535 | train acc 0.969 | val loss 1.4517 | val acc 0.713 | ‖g‖ 7.1382 | 808s
step  54300 | train loss 0.0425 | train acc 0.977 | val loss 1.5285 | val acc 0.704 | ‖g‖ 4.6096 | 810s
step  54400 | train loss 0.0296 | train acc 1.000 | val loss 1.5715 | val acc 0.708 | ‖g‖ 3.9990 | 811s
step  54500 | train loss 0.0452 | train acc 0.992 | val loss 1.5914 | val acc 0.708 | ‖g‖ 6.4279 | 813s
step  54600 | train loss 0.0549 | train acc 0.969 | val loss 1.6565 | val acc 0.721 | ‖g‖ 6.8194 | 814s
step  54700 | train loss 0.1028 | train acc 0.938 | val loss 1.4396 | val acc 0.708 | ‖g‖ 9.4967 | 816s
step  54800 | train loss 0.0586 | train acc 0.984 | val loss 1.4394 | val acc 0.727 | ‖g‖ 6.1480 | 818s
step  54900 | train loss 0.0295 | train acc 1.000 | val loss 1.3934 | val acc 0.738 | ‖g‖ 4.5744 | 820s
step  55000 | train loss 0.0499 | train acc 1.000 | val loss 1.6053 | val acc 0.704 | ‖g‖ 7.3843 | 822s
step  55100 | train loss 0.0753 | train acc 0.969 | val loss 1.4472 | val acc 0.723 | ‖g‖ 7.4723 | 824s
step  55200 | train loss 0.0774 | train acc 0.977 | val loss 1.6446 | val acc 0.698 | ‖g‖ 9.0170 | 826s
step  55300 | train loss 0.0148 | train acc 1.000 | val loss 1.4543 | val acc 0.727 | ‖g‖ 1.8144 | 828s
step  55400 | train loss 0.0705 | train acc 0.977 | val loss 1.3439 | val acc 0.708 | ‖g‖ 9.2422 | 830s
step  55500 | train loss 0.0478 | train acc 0.984 | val loss 1.4356 | val acc 0.719 | ‖g‖ 8.6606 | 831s
step  55600 | train loss 0.0165 | train acc 1.000 | val loss 1.6322 | val acc 0.704 | ‖g‖ 1.7115 | 833s
step  55700 | train loss 0.0284 | train acc 0.992 | val loss 1.4793 | val acc 0.733 | ‖g‖ 4.4936 | 836s
step  55800 | train loss 0.0708 | train acc 0.969 | val loss 1.3565 | val acc 0.704 | ‖g‖ 8.6237 | 838s
step  55900 | train loss 0.0979 | train acc 0.977 | val loss 1.6146 | val acc 0.723 | ‖g‖ 8.7080 | 839s
step  56000 | train loss 0.0748 | train acc 0.969 | val loss 1.4239 | val acc 0.710 | ‖g‖ 7.3228 | 841s
step  56100 | train loss 0.0224 | train acc 0.992 | val loss 1.6365 | val acc 0.723 | ‖g‖ 3.0959 | 843s
step  56200 | train loss 0.1209 | train acc 0.961 | val loss 1.3588 | val acc 0.702 | ‖g‖ 11.8930 | 845s
step  56300 | train loss 0.0438 | train acc 0.992 | val loss 1.5236 | val acc 0.708 | ‖g‖ 6.6781 | 847s
step  56400 | train loss 0.0754 | train acc 0.977 | val loss 1.3796 | val acc 0.713 | ‖g‖ 8.4234 | 848s
step  56500 | train loss 0.0514 | train acc 0.992 | val loss 1.4528 | val acc 0.690 | ‖g‖ 5.6838 | 851s
step  56600 | train loss 0.0597 | train acc 0.984 | val loss 1.5675 | val acc 0.700 | ‖g‖ 7.3440 | 852s
step  56700 | train loss 0.1746 | train acc 0.945 | val loss 1.4782 | val acc 0.690 | ‖g‖ 13.2566 | 855s
step  56800 | train loss 0.0112 | train acc 1.000 | val loss 1.6692 | val acc 0.721 | ‖g‖ 2.0390 | 857s
step  56900 | train loss 0.1588 | train acc 0.961 | val loss 1.3530 | val acc 0.696 | ‖g‖ 12.6784 | 858s
step  57000 | train loss 0.0344 | train acc 0.992 | val loss 1.5205 | val acc 0.704 | ‖g‖ 5.1056 | 860s
step  57100 | train loss 0.1047 | train acc 0.961 | val loss 1.4695 | val acc 0.715 | ‖g‖ 11.0924 | 861s
step  57200 | train loss 0.0265 | train acc 0.992 | val loss 1.5637 | val acc 0.713 | ‖g‖ 7.0365 | 863s
step  57300 | train loss 0.1462 | train acc 0.938 | val loss 1.4026 | val acc 0.710 | ‖g‖ 13.3590 | 865s
step  57400 | train loss 0.1105 | train acc 0.953 | val loss 1.3266 | val acc 0.721 | ‖g‖ 8.8538 | 866s
step  57500 | train loss 0.0332 | train acc 0.992 | val loss 1.4267 | val acc 0.708 | ‖g‖ 3.2859 | 868s
step  57600 | train loss 0.0115 | train acc 1.000 | val loss 1.6017 | val acc 0.717 | ‖g‖ 4.5555 | 870s
step  57700 | train loss 0.0057 | train acc 1.000 | val loss 1.6574 | val acc 0.725 | ‖g‖ 0.7914 | 871s
step  57800 | train loss 0.0051 | train acc 1.000 | val loss 1.6762 | val acc 0.710 | ‖g‖ 0.7578 | 873s
step  57900 | train loss 0.2605 | train acc 0.914 | val loss 1.2294 | val acc 0.696 | ‖g‖ 8.0146 | 874s
step  58000 | train loss 0.1092 | train acc 0.953 | val loss 1.2247 | val acc 0.742 | ‖g‖ 8.6175 | 876s
step  58100 | train loss 0.1639 | train acc 0.945 | val loss 1.3825 | val acc 0.694 | ‖g‖ 12.7969 | 878s
step  58200 | train loss 0.0418 | train acc 0.984 | val loss 1.3633 | val acc 0.725 | ‖g‖ 4.5425 | 880s
step  58300 | train loss 0.0786 | train acc 0.977 | val loss 1.4655 | val acc 0.698 | ‖g‖ 9.6556 | 881s
step  58400 | train loss 0.0553 | train acc 0.977 | val loss 1.4592 | val acc 0.706 | ‖g‖ 8.1296 | 883s
step  58500 | train loss 0.0397 | train acc 0.992 | val loss 1.4644 | val acc 0.738 | ‖g‖ 5.7734 | 884s
step  58600 | train loss 0.0852 | train acc 0.977 | val loss 1.4649 | val acc 0.698 | ‖g‖ 9.4502 | 887s
step  58700 | train loss 0.0124 | train acc 1.000 | val loss 1.4437 | val acc 0.721 | ‖g‖ 1.3122 | 888s
step  58800 | train loss 0.1439 | train acc 0.945 | val loss 1.4954 | val acc 0.713 | ‖g‖ 19.8986 | 890s
step  58900 | train loss 0.0178 | train acc 0.992 | val loss 1.4668 | val acc 0.738 | ‖g‖ 4.0713 | 891s
step  59000 | train loss 0.0766 | train acc 0.984 | val loss 1.5204 | val acc 0.710 | ‖g‖ 6.7774 | 895s
step  59100 | train loss 0.0887 | train acc 0.953 | val loss 1.1321 | val acc 0.738 | ‖g‖ 7.0566 | 898s
step  59200 | train loss 0.0371 | train acc 0.984 | val loss 1.3374 | val acc 0.735 | ‖g‖ 4.3262 | 900s
step  59300 | train loss 0.0398 | train acc 0.992 | val loss 1.5011 | val acc 0.708 | ‖g‖ 5.1120 | 901s
step  59400 | train loss 0.0837 | train acc 0.977 | val loss 1.2948 | val acc 0.733 | ‖g‖ 7.7216 | 903s
step  59500 | train loss 0.0232 | train acc 0.992 | val loss 1.6041 | val acc 0.706 | ‖g‖ 2.6112 | 905s
step  59600 | train loss 0.0422 | train acc 0.992 | val loss 1.4344 | val acc 0.723 | ‖g‖ 6.0524 | 906s
step  59700 | train loss 0.0815 | train acc 0.961 | val loss 1.3948 | val acc 0.713 | ‖g‖ 9.2711 | 908s
step  59800 | train loss 0.0320 | train acc 0.992 | val loss 1.4848 | val acc 0.715 | ‖g‖ 6.9667 | 910s
step  59900 | train loss 0.1167 | train acc 0.969 | val loss 1.5480 | val acc 0.721 | ‖g‖ 15.5057 | 912s
step  60000 | train loss 0.0322 | train acc 0.992 | val loss 1.5252 | val acc 0.713 | ‖g‖ 4.3370 | 913s
step  60100 | train loss 0.0293 | train acc 1.000 | val loss 1.4619 | val acc 0.744 | ‖g‖ 3.5337 | 915s
step  60200 | train loss 0.0459 | train acc 0.977 | val loss 1.3759 | val acc 0.731 | ‖g‖ 5.2466 | 916s
step  60300 | train loss 0.0417 | train acc 0.984 | val loss 1.5622 | val acc 0.713 | ‖g‖ 6.7161 | 918s
step  60400 | train loss 0.0661 | train acc 0.984 | val loss 1.3733 | val acc 0.725 | ‖g‖ 6.5871 | 920s
step  60500 | train loss 0.0354 | train acc 0.992 | val loss 1.4764 | val acc 0.731 | ‖g‖ 5.1432 | 922s
step  60600 | train loss 0.0513 | train acc 0.992 | val loss 1.4601 | val acc 0.729 | ‖g‖ 6.2006 | 923s
step  60700 | train loss 0.0928 | train acc 0.969 | val loss 1.5456 | val acc 0.721 | ‖g‖ 9.0719 | 925s
step  60800 | train loss 0.0916 | train acc 0.969 | val loss 1.6009 | val acc 0.719 | ‖g‖ 12.4664 | 927s
step  60900 | train loss 0.0322 | train acc 0.992 | val loss 1.5388 | val acc 0.704 | ‖g‖ 4.6233 | 928s
step  61000 | train loss 0.0129 | train acc 1.000 | val loss 1.5753 | val acc 0.725 | ‖g‖ 1.3355 | 930s
step  61100 | train loss 0.1045 | train acc 0.945 | val loss 1.4484 | val acc 0.719 | ‖g‖ 13.7221 | 932s
